Name,Sub Category,Plan,AUM,CAGR 3Y,Expense Ratio,Exit Load,Alpha,CAGR 5Y,CAGR 10Y,3Y Avg Annual Rolling Return ,Category St Dev,Volatility,Sharpe Ratio,PE Ratio,Returns vs sub-category - 10Y,Returns vs sub-category - 5Y
Parag Parikh Flexi Cap Fund,Flexi Cap Fund,Growth,134253.1711,17.585743618379723,0.63,2.0,0,16.448069916905173,17.909831735214652,22.439087705362372,14.36338406534932,9.035769877547793,-0.1571576278772367,17.5137,1.7370853160053654,1.6040148507748373
HDFC Flexi Cap Fund,Flexi Cap Fund,Growth,100455.3195,19.11307331063783,0.7,1.0,0,19.45961958304494,17.23310359717121,24.238573969491284,14.36338406534932,12.263057326784375,-0.180969389676818,24.0123,1.6714490482334263,1.8977010043927385
Kotak Flexicap Fund,Flexi Cap Fund,Growth,56853.22900000001,15.021738967086296,0.59,1.0,0,12.94421052365582,14.81280038081636,19.031834481101868,14.36338406534932,14.520412345384688,-0.01269960629311,26.1543,1.4367023884340469,1.2623186803310065
Aditya Birla SL Flexi Cap Fund,Flexi Cap Fund,Growth,25206.6038,16.647504412892467,0.85,1.0,0,13.629270138670837,15.038433744141244,19.513554849441952,14.36338406534932,13.777485377237747,0.0507984251724401,29.1779,1.458586703598321,1.3291256553561306
SBI Flexicap Fund,Flexi Cap Fund,Growth,23297.4528,11.356112673962793,0.82,0.1,0,10.81238603687693,13.02978923150473,15.12808892830194,14.36338406534932,12.59324709040524,-0.3286023128342221,25.7922,1.2637670682404336,1.0544232765958683
UTI Flexi Cap Fund,Flexi Cap Fund,Growth,20437.9072,8.405933001611587,1.05,1.0,0,6.370165226712676,12.049149401592096,12.30003932632781,14.36338406534932,13.81399674533044,-0.7826132378129059,37.6163,1.1686542232949466,0.6212181536895578
ICICI Pru Flexicap Fund,Flexi Cap Fund,Growth,20437.465140006,17.35045571699527,0.78,1.0,0,0.0,0.0,21.38081242943164,14.36338406534932,14.907750337324543,0.1063592027047965,35.3888,0.0,0.0
Franklin India Flexi Cap Fund,Flexi Cap Fund,Growth,19597.857880078,16.09114356504806,0.89,1.0,0,15.223761897962197,14.274492356989054,21.051287349138743,14.36338406534932,13.66160146981312,-0.3857505411532173,26.3676,1.3844915705155465,1.4846204018073703
Canara Rob Flexi Cap Fund,Flexi Cap Fund,Growth,13389.8922,13.638362651386537,0.56,1.0,0,12.58302856129452,15.112765216296232,17.6773941193261,14.36338406534932,13.883844579942547,-0.1396956692242104,31.1247,1.4657961576404617,1.2270962357289148
Motilal Oswal Flexi Cap Fund,Flexi Cap Fund,Growth,12890.3305,19.83194474511592,0.81,1.0,0,11.926613158832057,13.291856440795913,25.41733504080336,14.36338406534932,16.290419972486898,-0.568307381616674,35.8169,1.2891851239651635,1.1630826426966423
Axis Flexi Cap Fund,Flexi Cap Fund,Growth,12871.398798,13.619940849765122,0.72,1.0,0,10.576554593213803,0.0,16.87570631406058,14.36338406534932,14.269595121095763,-0.2539921258622007,34.5601,0.0,1.0314250075085918
DSP Flexi Cap Fund,Flexi Cap Fund,Growth,12165.0611,14.976870190066172,0.69,1.0,0,12.465869766232917,14.98494906436283,19.834788688388,14.36338406534932,14.220384146709964,-0.3508266238471647,23.454,1.4533991924453462,1.2156709166411994
Nippon India Flexi Cap Fund,Flexi Cap Fund,Growth,9298.4498,14.286081132181572,0.45,1.0,0,0.0,0.0,18.692788379134665,14.36338406534932,14.645820957529148,-0.3270148620475834,27.4499,0.0,0.0
Bandhan Flexi Cap Fund,Flexi Cap Fund,Growth,7427.2427,14.266880970803332,1.13,1.0,0,12.493703933084976,11.761716558824098,17.78874970333149,14.36338406534932,12.966298025265344,-0.1698572341703467,25.166,1.1407759395739308,1.218385303023018
WOC Flexi Cap Fund,Flexi Cap Fund,Growth,7286.855699999999,17.988586527868634,0.57,1.0,0,0.0,0.0,22.549989149081995,14.36338406534932,13.63778970801354,-0.1428705707974878,26.2255,0.0,0.0
